Rank,TeamId,TeamName,Score,SubmissionDate
1,8398674,CADang,0.96399,2025-10-28T14:41:56.47Z
2,10534604,à¤¨à¤°à¥‡à¤¶ à¤•à¥‹à¤ªà¤°à¤–à¥ˆà¤°à¤£à¥‡ Naresh,0.82183,2025-10-19T14:14:27.75Z
3,14361293,Jeki Wan Taufik,0.82066,2025-10-21T13:10:23.05Z
4,14560102,Shivam Gupta,0.82066,2025-10-21T19:27:16.3233333Z
5,8404185,William Guesdon,0.8202,2025-10-30T22:34:30.4766667Z
6,14138227,Julian Lopez Sanchez,0.8202,2025-10-20T21:26:27.6766667Z
7,14345251,try,0.81903,2025-09-06T13:32:45.9166667Z
8,13211356,qqqqqq,0.81669,2025-09-13T19:52:10.98Z
9,8881970,Viktor Taran,0.81669,2025-10-08T12:10:05.37Z
10,14400517,huanglifan,0.81575,2025-09-20T14:59:33.25Z
11,14154392,Thiago Silveira,0.81529,2025-09-10T06:53:55.18Z
12,14393018,MiniRedTrout,0.81529,2025-10-02T14:56:59.2733333Z
13,8683503,"ðŸ’¥Tesla, Inc.ðŸ’¥",0.81482,2025-10-13T04:26:42.5733333Z
14,14424201,Carlos F. GÃ³mez ,0.81458,2025-09-23T14:24:07.77Z
15,11817833,Zeina Shreif,0.81412,2025-10-29T19:08:19.2666667Z
16,13871679,ML25-Team02,0.81365,2025-10-27T14:08:07.5233333Z
17,8968104,Alexander_vikt,0.81318,2025-09-13T19:27:20.5533333Z
18,14380308,ericw333,0.81318,2025-10-06T04:20:36.59Z
19,11835705,Udesh Senevirathne,0.81318,2025-10-05T15:59:43.9933333Z
20,14424313,HYMURCIA,0.81295,2025-09-23T16:21:18.4866667Z
